3.18219884351e-05 [3, 2] 
0.000100314829547 [4, 3] 
0.000175583261553 [5, 4] 
5.05818684422e-05 [6, 5] 
4.3280663855e-05 [7, 6] 
4.97009614277e-05 [8, 7] 
0.000138276990112 [9, 8] 
0.000112730705954 [10, 5] 
2.76519856347e-05 [10, 9] 
3.91861066887e-05 [11, 4] 
1.92677532056e-05 [12, 11] 
2.07248824516e-05 [18, 17] 
3.60885183215e-05 [19, 18] 
0.000140989822042 [20, 19] 
6.37752256419e-05 [21, 20] 
3.39353311374e-05 [22, 21] 
0.000166595953531 [23, 8] 
9.75324094797e-05 [23, 22] 
5.73902488427e-05 [24, 23] 
7.40132627696e-05 [25, 20] 
3.86985992348e-05 [25, 24] 
9.94526661262e-05 [26, 19] 
3.6107021148e-05 [27, 26] 
2.18638440091e-05 [30, 2] 
1.03263724565e-05 [31, 3] 
7.14737408869e-06 [32, 6] 
8.64947850059e-06 [33, 7] 
1.0307904603e-05 [34, 9] 
3.75288604869e-06 [35, 10] 
1.08125407862e-05 [36, 11] 
8.05708521096e-06 [37, 12] 
1.00524397853e-05 [40, 17] 
9.13910668389e-06 [41, 18] 
7.05818961568e-06 [42, 21] 
9.57851362687e-06 [43, 22] 
8.98695019835e-06 [44, 24] 
6.89731305611e-06 [45, 25] 
1.6981826326e-05 [46, 26] 
2.27671809115e-05 [47, 27] 
