0.000284359872131 [1, 0] 
0.000125441158905 [2, 1] 
3.71362647564e-05 [3, 2] 
4.93328572265e-05 [12, 1] 
2.31671119962e-05 [12, 11] 
0.00017772308958 [13, 0] 
2.20938272913e-05 [14, 13] 
0.000166553841809 [15, 14] 
0.000252119548153 [16, 15] 
4.96570935155e-05 [17, 16] 
4.39235378154e-05 [18, 17] 
5.24252728061e-05 [19, 18] 
0.000137483626653 [20, 19] 
3.05007423431e-05 [21, 20] 
3.5634707973e-05 [22, 21] 
3.86213305637e-05 [25, 20] 
4.53242828162e-05 [25, 24] 
0.000158472757381 [26, 19] 
0.00014929260619 [27, 16] 
2.46257341805e-05 [27, 26] 
5.84822696504e-05 [28, 15] 
5.33624209687e-05 [29, 0] 
4.39282509757e-05 [29, 28] 
1.54619979283e-05 [30, 2] 
2.44034624442e-05 [31, 3] 
1.26976049738e-05 [36, 11] 
9.55250017258e-06 [37, 12] 
5.18349416107e-06 [38, 13] 
4.18324968043e-06 [39, 14] 
7.30643292228e-06 [40, 17] 
7.73713597054e-06 [41, 18] 
1.39016015798e-05 [42, 21] 
2.46466472134e-05 [43, 22] 
3.10588395545e-05 [44, 24] 
1.3787271538e-05 [45, 25] 
8.50880620202e-06 [46, 26] 
3.75341660208e-06 [47, 27] 
7.84151247897e-06 [48, 28] 
5.3942937305e-06 [49, 29] 
