3.62101455403e-05 [7, 6] 
4.455828029e-05 [8, 7] 
0.000120522356339 [9, 8] 
3.7246791722e-05 [10, 9] 
2.75794137115e-05 [14, 13] 
0.000144960857146 [15, 14] 
0.000226227112062 [16, 15] 
4.74142146442e-05 [17, 16] 
3.38976036357e-05 [18, 17] 
4.65395108173e-05 [19, 18] 
0.000150324462357 [20, 19] 
5.37797446525e-05 [21, 20] 
3.76896606603e-05 [22, 21] 
0.000143365644922 [23, 8] 
8.55666915064e-05 [23, 22] 
4.76602894079e-05 [24, 23] 
6.03996118167e-05 [25, 20] 
3.91399807604e-05 [25, 24] 
0.000138552213065 [26, 19] 
0.000127404857379 [27, 16] 
3.36480745965e-05 [27, 26] 
5.29838458704e-05 [28, 15] 
3.23318282843e-05 [29, 28] 
1.00066970481e-05 [32, 6] 
1.31566108671e-05 [33, 7] 
2.02920123033e-05 [34, 9] 
1.14121445765e-05 [35, 10] 
1.18186478161e-05 [38, 13] 
1.01898030384e-05 [39, 14] 
9.12392724783e-06 [40, 17] 
1.0352641122e-05 [41, 18] 
1.44689723853e-05 [42, 21] 
1.51996099964e-05 [43, 22] 
1.65887410117e-05 [44, 24] 
1.19182026594e-05 [45, 25] 
1.76496023569e-05 [46, 26] 
1.10981351832e-05 [47, 27] 
9.28884050154e-06 [48, 28] 
6.98863108409e-06 [49, 29] 
0.000296190749658 [1, 0] 
0.000162431940633 [2, 1] 
2.81455732243e-05 [3, 2] 
0.00013844835477 [4, 3] 
0.000187268506242 [5, 4] 
4.44210393822e-05 [6, 5] 
9.93591815653e-05 [10, 5] 
5.00021071967e-05 [11, 4] 
5.23129678839e-05 [12, 1] 
3.21480472793e-05 [12, 11] 
0.000161918443927 [13, 0] 
5.12207450052e-05 [29, 0] 
1.18691356069e-05 [30, 2] 
1.09581079072e-05 [31, 3] 
9.68869959639e-06 [36, 11] 
7.02822705518e-06 [37, 12] 
