1.14895285265e-06 [7, 6] 
2.8093856556e-06 [8, 7] 
1.23809242254e-05 [9, 8] 
2.63928808478e-05 [10, 9] 
3.57011034051e-05 [14, 13] 
1.6806554958e-05 [15, 14] 
1.76662880655e-05 [16, 15] 
2.18512505516e-06 [17, 16] 
1.63264869647e-05 [18, 17] 
1.81031629875e-06 [19, 18] 
3.38221607854e-05 [20, 19] 
3.22011255472e-06 [21, 20] 
1.9185624417e-06 [22, 21] 
1.68012422257e-05 [23, 8] 
2.87202198602e-06 [23, 22] 
1.65297231675e-06 [24, 23] 
2.01179503728e-06 [25, 20] 
3.72745164206e-06 [25, 24] 
8.78933772273e-06 [26, 19] 
4.95499200426e-06 [27, 16] 
1.02247065187e-05 [27, 26] 
2.01029107969e-06 [28, 15] 
5.86494311783e-07 [29, 28] 
7.89067695797e-07 [32, 6] 
8.1304257531e-07 [33, 7] 
1.41227174853e-06 [34, 9] 
5.57938037534e-06 [35, 10] 
6.73088801815e-06 [38, 13] 
2.63685711591e-07 [39, 14] 
3.84341917448e-07 [40, 17] 
1.83661028464e-07 [41, 18] 
1.54492929671e-07 [42, 21] 
5.76809713312e-07 [43, 22] 
7.26950566646e-07 [44, 24] 
2.70130596577e-07 [45, 25] 
7.14274537146e-07 [46, 26] 
1.88667410952e-07 [47, 27] 
5.21123751496e-07 [48, 28] 
3.99843774457e-07 [49, 29] 
