6.65394950531e-06 [7, 6] 
2.29065988095e-06 [8, 7] 
7.65567668128e-06 [9, 8] 
1.84836432491e-05 [10, 9] 
2.51801565912e-05 [14, 13] 
1.15655825396e-05 [15, 14] 
2.23769084194e-05 [16, 15] 
2.05825932129e-06 [17, 16] 
8.4345843692e-06 [18, 17] 
2.23567892087e-06 [19, 18] 
1.98334284772e-05 [20, 19] 
3.64142447176e-06 [21, 20] 
9.52153538566e-06 [22, 21] 
2.49421288645e-05 [23, 8] 
4.78398994372e-06 [23, 22] 
2.77530724922e-06 [24, 23] 
3.04467918021e-06 [25, 20] 
6.42291909858e-06 [25, 24] 
1.00306522245e-05 [26, 19] 
8.55989062689e-06 [27, 16] 
2.42224664815e-05 [27, 26] 
2.16259447115e-06 [28, 15] 
1.05150277117e-05 [29, 28] 
3.50334480871e-07 [32, 6] 
1.07788466478e-06 [33, 7] 
2.93086438039e-06 [34, 9] 
1.62219809704e-06 [35, 10] 
1.90442268492e-06 [38, 13] 
1.96928173074e-06 [39, 14] 
4.57907473431e-07 [40, 17] 
7.54937500783e-07 [41, 18] 
1.44996033706e-06 [42, 21] 
1.83765724771e-06 [43, 22] 
1.48035783088e-06 [44, 24] 
1.21691308743e-06 [45, 25] 
3.36612538664e-06 [46, 26] 
1.73227966313e-06 [47, 27] 
4.32292852341e-07 [48, 28] 
2.68067507781e-07 [49, 29] 
2.25523248848e-05 [1, 0] 
1.0310862946e-05 [2, 1] 
2.51846194666e-05 [3, 2] 
1.1623727739e-05 [4, 3] 
2.08006569004e-05 [5, 4] 
2.16970068788e-06 [6, 5] 
7.04699441217e-06 [10, 5] 
2.18094390122e-06 [11, 4] 
2.09745670461e-06 [12, 1] 
1.07902613464e-05 [12, 11] 
9.90457624587e-06 [13, 0] 
2.25437122295e-06 [29, 0] 
1.66626523286e-06 [30, 2] 
2.64988954315e-06 [31, 3] 
3.25787460141e-07 [36, 11] 
3.39515982538e-07 [37, 12] 
