0.0913778733333 [1, 0] 
0.02876935 [2, 1] 
0.0127550033333 [3, 2] 
0.00777805 [4, 3] 
0.0715346333333 [5, 4] 
0.0682132666667 [6, 5] 
0.0382033533333 [7, 6] 
0.0357018566667 [10, 9] 
0.0602675866667 [10, 5] 
0.01028817 [11, 4] 
0.01383881 [12, 11] 
0.0439067733333 [12, 1] 
0.02821774 [13, 0] 
0.0123427833333 [14, 13] 
0.00774760333333 [15, 14] 
0.0714964933333 [16, 15] 
0.06588299 [17, 16] 
0.03723684 [18, 17] 
0.03702087 [27, 26] 
0.0604480733333 [27, 16] 
0.00962872 [28, 15] 
0.0134914266667 [29, 28] 
0.0433217733333 [29, 0] 
0.00639226 [30, 2] 
0.00184060333333 [31, 3] 
0.0121140866667 [32, 6] 
0.00276209333333 [33, 7] 
0.00363560666667 [34, 9] 
0.00768614333333 [35, 10] 
0.00225664 [36, 11] 
0.00461838333333 [37, 12] 
0.00614937333333 [38, 13] 
0.00189268666667 [39, 14] 
0.0124931133333 [40, 17] 
0.00232497333333 [41, 18] 
0.00469936333333 [46, 26] 
0.00684985 [47, 27] 
0.00231960333333 [48, 28] 
0.00458304 [49, 29] 
