0.0251402491667 [7, 6] 
0.0363541122222 [8, 7] 
0.0375001322222 [9, 8] 
0.0258625691667 [10, 9] 
0.0268272716667 [14, 13] 
0.0324500177778 [15, 14] 
0.07671281 [16, 15] 
0.0378627344444 [17, 16] 
0.0252169208333 [18, 17] 
0.0358388988889 [19, 18] 
0.0740995711111 [20, 19] 
0.0310845611111 [21, 20] 
0.0256979433333 [22, 21] 
0.03839999 [23, 22] 
0.0794429833333 [23, 8] 
0.0360673722222 [24, 23] 
0.0255645558333 [25, 24] 
0.0378776588889 [25, 20] 
0.0320646933333 [26, 19] 
0.026020945 [27, 26] 
0.0312262766667 [27, 16] 
0.0379970888889 [28, 15] 
0.0258661866667 [29, 28] 
0.0053311175 [32, 6] 
0.00564980333333 [33, 7] 
0.00461109 [34, 9] 
0.005656925 [35, 10] 
0.0053535925 [38, 13] 
0.00525243 [39, 14] 
0.00545036666667 [40, 17] 
0.0055482325 [41, 18] 
0.00605873666667 [42, 21] 
0.00470797833333 [43, 22] 
0.00595672166667 [44, 24] 
0.00487732166667 [45, 25] 
0.00481985583333 [46, 26] 
0.00552659416667 [47, 27] 
0.00565265916667 [48, 28] 
0.00570012583333 [49, 29] 
0.0806579455556 [1, 0] 
0.0337176377778 [2, 1] 
0.0264142733333 [3, 2] 
0.0313161288889 [4, 3] 
0.0742308111111 [5, 4] 
0.0374464411111 [6, 5] 
0.0302511388889 [10, 5] 
0.03673594 [11, 4] 
0.0254940383333 [12, 11] 
0.0393119655556 [12, 1] 
0.0341603377778 [13, 0] 
0.0395448177778 [29, 0] 
0.00536077833333 [30, 2] 
0.0051353125 [31, 3] 
0.00558059583333 [36, 11] 
0.005652225 [37, 12] 
