0.0266254074667 [7, 6] 
0.0387604780889 [8, 7] 
0.0399285426556 [9, 8] 
0.0284405787917 [10, 9] 
0.0288436307917 [14, 13] 
0.0350075636444 [15, 14] 
0.0807329069 [16, 15] 
0.0405953061444 [17, 16] 
0.0264875182833 [18, 17] 
0.0381931063556 [19, 18] 
0.0773039852444 [20, 19] 
0.0336265717444 [21, 20] 
0.0279368160333 [22, 21] 
0.0408219031333 [23, 22] 
0.0825239869 [23, 8] 
0.0386317455222 [24, 23] 
0.0275058115083 [25, 24] 
0.0403472116222 [25, 20] 
0.0344201060333 [26, 19] 
0.02848893745 [27, 26] 
0.0334026892333 [27, 16] 
0.0402247336222 [28, 15] 
0.0268781499417 [29, 28] 
0.005884519825 [32, 6] 
0.00648141075833 [33, 7] 
0.006038642075 [34, 9] 
0.0067488998 [35, 10] 
0.006314718325 [38, 13] 
0.00629800355 [39, 14] 
0.00592350619167 [40, 17] 
0.00623061425 [41, 18] 
0.00718096919167 [42, 21] 
0.00577608340833 [43, 22] 
0.00702095089167 [44, 24] 
0.00569300044167 [45, 25] 
0.00618116465833 [46, 26] 
0.00656671914167 [47, 27] 
0.00610664921667 [48, 28] 
0.00609894478333 [49, 29] 
0.0848070082556 [1, 0] 
0.0360220208444 [2, 1] 
0.0285790237083 [3, 2] 
0.0339061400889 [4, 3] 
0.0780574097111 [5, 4] 
0.0402051607444 [6, 5] 
0.0324828890556 [10, 5] 
0.039037592 [11, 4] 
0.0265461785083 [12, 11] 
0.0418126479889 [12, 1] 
0.0365311978778 [13, 0] 
0.0418391611111 [29, 0] 
0.00634896113333 [30, 2] 
0.0062785053 [31, 3] 
0.00608725760833 [36, 11] 
0.00604496625 [37, 12] 
